report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-07,Sub-Saharan Africa,Kenya,Dagahaley,NA,NA,NA,NA,NA,NA,NA,42,NA
2024-07,Sub-Saharan Africa,Kenya,Hagadera,NA,NA,NA,NA,NA,NA,NA,39,NA
2024-07,Sub-Saharan Africa,Kenya,Ifo,NA,NA,NA,NA,NA,NA,NA,43,NA
2024-07,Sub-Saharan Africa,Kenya,Ifo 2,NA,NA,NA,NA,NA,NA,NA,22,NA
2024-12,Sub-Saharan Africa,Ethiopia,Buramino,Post-emergency,49000,NA,9,100,NA,73,9,NA
2024-09,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6262,89,23,NA,20,7,57,1043
2024-09,Western Asia,Iraq,Arbat,Post-emergency,9138,NA,50,100,5,5,100,NA
2024-09,Western Asia,Iraq,Basirma,Post-emergency,9294,19,17,100,5,5,100,NA
2024-09,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,115,100,5,6,100,974
2024-09,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,98,100,6,6,100,95
2024-09,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,111725,133,20,99,NA,9,53,6206
2024-09,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,146356,176,18,100,NA,9,60,4721
2024-09,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,102459,89,17,97,NA,9,57,5692
2024-09,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22099,91,26,100,NA,18,15,2455
2024-09,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,55829,86,13,NA,7,5,75,1053
2024-08,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6304,90,16,NA,20,7,61,1050
2024-08,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,21137,142,15,100,17,12,41,1174
2024-08,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16295,169,20,100,11,12,33,1253
2024-08,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43260,198,15,100,14,14,31,2403
2024-08,Western Asia,Iraq,Arbat,Post-emergency,9138,NA,54,100,5,5,100,NA
2024-08,Western Asia,Iraq,Basirma,Post-emergency,9294,19,17,100,5,5,100,NA
2024-08,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,122,100,5,6,100,974
2024-08,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,101,100,6,6,100,95
2024-08,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,111725,133,19,99,NA,9,53,6206
2024-08,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,146356,176,16,99,NA,9,60,4721
2024-08,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,102459,89,16,99,NA,9,57,5692
2024-08,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22099,91,19,100,NA,22,10,2455
2024-08,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,55425,86,13,NA,7,5,0,1045
2024-08,Sub-Saharan Africa,Niger,Centre humanitaire Agadez,Emergency,2958,NA,19,NA,105,52,0,NA
2024-08,Sub-Saharan Africa,Niger,Chadakori,Post-emergency,4461,212,4,NA,49,25,7,278
2024-08,Sub-Saharan Africa,Niger,Dandaji Makao,Post-emergency,3016,302,8,NA,34,19,8,188
2024-08,Sub-Saharan Africa,Niger,Garin Kaka,Post-emergency,1816,130,15,NA,33,13,17,113
2024-08,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14734,81,17,100,42,34,0,818
2024-08,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14699,43,35,100,60,21,0,319
2024-08,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63942,83,21,100,19,19,0,620
2024-08,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11932,76,23,100,37,26,0,NA
2024-08,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,11950,76,17,97,40,16,0,322
2024-07,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6283,57,16,NA,17,7,62,1047
2024-07,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,21096,141,19,100,17,12,41,1172
2024-07,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16154,168,13,100,11,12,33,1242
2024-07,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43580,199,11,100,14,14,31,2421
2024-07,Western Asia,Iraq,Arbat,Post-emergency,9138,NA,54,100,5,5,100,NA
2024-07,Western Asia,Iraq,Basirma,Post-emergency,9294,19,17,100,5,5,100,NA
